기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
202201,부산광역시,현지인방문자(a),4.1356721E7,3.7408774E7
202201,부산광역시,외지인방문자(b),1.1368994E7,8749570.0
202201,부산광역시,외국인방문자(c),71105.0,43585.0
202201,부산광역시,외부방문자(b+c),1.1440099E7,8793154.0
202201,부산광역시,전체방문자(a+b+c),5.279682E7,4.6201928E7
202202,부산광역시,현지인방문자(a),3.727445E7,3.5559986E7
202202,부산광역시,외지인방문자(b),9877186.0,1.0115679E7
202202,부산광역시,외국인방문자(c),62308.0,38678.0
202202,부산광역시,외부방문자(b+c),9939494.0,1.0154357E7
202202,부산광역시,전체방문자(a+b+c),4.7213944E7,4.5714343E7
202203,부산광역시,현지인방문자(a),4.4040188E7,4.1547457E7
202203,부산광역시,외지인방문자(b),1.1363376E7,1.1716691E7
202203,부산광역시,외국인방문자(c),76163.0,43664.0
202203,부산광역시,외부방문자(b+c),1.1439539E7,1.1760355E7
202203,부산광역시,전체방문자(a+b+c),5.5479728E7,5.3307812E7
202204,부산광역시,현지인방문자(a),4.3258005E7,3.8944185E7
202204,부산광역시,외지인방문자(b),1.006747E7,9099500.0
202204,부산광역시,외국인방문자(c),94624.0,51151.0
202204,부산광역시,외부방문자(b+c),1.0162094E7,9150650.0
202204,부산광역시,전체방문자(a+b+c),5.3420099E7,4.8094835E7
202205,부산광역시,현지인방문자(a),4.8263744E7,4.2668028E7
202205,부산광역시,외지인방문자(b),1.1842218E7,1.0615448E7
202205,부산광역시,외국인방문자(c),105662.0,52280.0
202205,부산광역시,외부방문자(b+c),1.194788E7,1.0667727E7
202205,부산광역시,전체방문자(a+b+c),6.0211624E7,5.3335755E7
202206,부산광역시,현지인방문자(a),4.7426662E7,4.2204144E7
202206,부산광역시,외지인방문자(b),1.1178738E7,9893394.0
202206,부산광역시,외국인방문자(c),107633.0,55394.0
202206,부산광역시,외부방문자(b+c),1.128637E7,9948788.0
202206,부산광역시,전체방문자(a+b+c),5.8713033E7,5.2152933E7
202207,부산광역시,현지인방문자(a),4.840529E7,4.2190264E7
202207,부산광역시,외지인방문자(b),1.2475754E7,1.0355972E7
202207,부산광역시,외국인방문자(c),129435.0,59897.0
202207,부산광역시,외부방문자(b+c),1.2605189E7,1.0415868E7
202207,부산광역시,전체방문자(a+b+c),6.1010479E7,5.2606132E7
