기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
202001,부산광역시,현지인방문자(a),4.0188092E7,3.8855148E7
202001,부산광역시,외지인방문자(b),1.351274E7,1.1674128E7
202001,부산광역시,외국인방문자(c),147340.0,294616.0
202001,부산광역시,외부방문자(b+c),1.3660081E7,1.1968743E7
202001,부산광역시,전체방문자(a+b+c),5.3848173E7,5.0823892E7
202002,부산광역시,현지인방문자(a),3.7560758E7,3.4681612E7
202002,부산광역시,외지인방문자(b),9479306.0,1.2876465E7
202002,부산광역시,외국인방문자(c),96265.0,312050.0
202002,부산광역시,외부방문자(b+c),9575570.0,1.3188515E7
202002,부산광역시,전체방문자(a+b+c),4.7136328E7,4.7870127E7
202003,부산광역시,현지인방문자(a),3.7321949E7,3.9710478E7
202003,부산광역시,외지인방문자(b),8356096.0,1.4100188E7
202003,부산광역시,외국인방문자(c),29156.0,400192.0
202003,부산광역시,외부방문자(b+c),8385252.0,1.4500379E7
202003,부산광역시,전체방문자(a+b+c),4.5707201E7,5.4210858E7
202004,부산광역시,현지인방문자(a),3.7891872E7,3.6381838E7
202004,부산광역시,외지인방문자(b),9035890.0,1.0284054E7
202004,부산광역시,외국인방문자(c),33601.0,504583.0
202004,부산광역시,외부방문자(b+c),9069492.0,1.0788637E7
202004,부산광역시,전체방문자(a+b+c),4.6961363E7,4.7170475E7
202005,부산광역시,현지인방문자(a),4.0179615E7,3.9926246E7
202005,부산광역시,외지인방문자(b),1.1105784E7,1.2990982E7
202005,부산광역시,외국인방문자(c),35791.0,467262.0
202005,부산광역시,외부방문자(b+c),1.1141575E7,1.3458243E7
202005,부산광역시,전체방문자(a+b+c),5.132119E7,5.338449E7
202006,부산광역시,현지인방문자(a),4.0852665E7,3.8926016E7
202006,부산광역시,외지인방문자(b),1.0103576E7,1.1056896E7
202006,부산광역시,외국인방문자(c),36160.0,439977.0
202006,부산광역시,외부방문자(b+c),1.0139736E7,1.1496873E7
202006,부산광역시,전체방문자(a+b+c),5.0992401E7,5.0422889E7
202007,부산광역시,현지인방문자(a),4.2045325E7,4.092689E7
202007,부산광역시,외지인방문자(b),1.0989724E7,1.3210617E7
202007,부산광역시,외국인방문자(c),46597.0,436473.0
202007,부산광역시,외부방문자(b+c),1.103632E7,1.364709E7
202007,부산광역시,전체방문자(a+b+c),5.3081645E7,5.4573979E7
202008,부산광역시,현지인방문자(a),4.0737742E7,3.8924067E7
202008,부산광역시,외지인방문자(b),1.1664622E7,1.3473968E7
202008,부산광역시,외국인방문자(c),40085.0,470346.0
202008,부산광역시,외부방문자(b+c),1.1704707E7,1.3944314E7
202008,부산광역시,전체방문자(a+b+c),5.2442449E7,5.2868381E7
202009,부산광역시,현지인방문자(a),4.0887662E7,3.934363E7
202009,부산광역시,외지인방문자(b),9856056.0,1.33649E7
202009,부산광역시,외국인방문자(c),39339.0,468581.0
202009,부산광역시,외부방문자(b+c),9895395.0,1.3833482E7
202009,부산광역시,전체방문자(a+b+c),5.0783057E7,5.3177111E7
202010,부산광역시,현지인방문자(a),4.0334553E7,4.1201734E7
202010,부산광역시,외지인방문자(b),1.1229418E7,1.1671233E7
202010,부산광역시,외국인방문자(c),42321.0,547140.0
202010,부산광역시,외부방문자(b+c),1.1271738E7,1.2218373E7
202010,부산광역시,전체방문자(a+b+c),5.1606291E7,5.3420107E7
202011,부산광역시,현지인방문자(a),4.152737E7,4.0658916E7
202011,부산광역시,외지인방문자(b),1.0412234E7,1.1774396E7
202011,부산광역시,외국인방문자(c),38287.0,460266.0
202011,부산광역시,외부방문자(b+c),1.0450521E7,1.2234661E7
202011,부산광역시,전체방문자(a+b+c),5.1977891E7,5.2893577E7
202012,부산광역시,현지인방문자(a),3.8998407E7,4.2756136E7
202012,부산광역시,외지인방문자(b),8980440.0,1.319431E7
202012,부산광역시,외국인방문자(c),45131.0,482928.0
202012,부산광역시,외부방문자(b+c),9025571.0,1.3677238E7
202012,부산광역시,전체방문자(a+b+c),4.8023978E7,5.6433375E7
