,20세 이하,,,21~30세,,,31~40세,,,41~50세,,,51~60세,,,61세이상,,,승무원,,,전체,,
,인원,전년동기,증감률,인원,전년동기,증감률,인원,전년동기,증감률,인원,전년동기,증감률,인원,전년동기,증감률,인원,전년동기,증감률,인원,전년동기,증감률,인원,전년동기,증감률
202110,"2,741","1,791",53.0,"10,919","6,714",62.6,"12,272","6,628",85.2,"9,805","5,160",90.0,"10,715","4,730",126.5,"6,789","2,920",132.5,"39,175","33,642",16.4,"92,416","61,585",50.1
202111,"3,410","2,698",26.4,"11,915","7,110",67.6,"13,391","6,435",108.1,"10,105","4,660",116.8,"9,347","3,984",134.6,"5,940","2,438",143.6,"40,250","34,439",16.9,"94,358","61,764",52.8
202112,"5,677","2,951",92.4,"14,043","6,807",106.3,"12,866","6,299",104.3,"8,002","4,294",86.4,"6,135","3,272",87.5,"3,456","1,678",106.0,"39,971","37,043",7.9,"90,150","62,344",44.6
202201,"2,991","1,673",78.8,"11,333","5,822",94.7,"11,799","6,186",90.7,"6,758","4,175",61.9,"5,882","3,909",50.5,"3,399","1,755",93.7,"39,689","34,877",13.8,"81,851","58,397",40.2
202202,"5,940","3,579",66.0,"30,043","14,740",103.8,"13,228","6,845",93.3,"6,887","4,253",61.9,"5,664","3,917",44.6,"3,409","1,659",105.5,"34,828","30,589",13.9,"99,999","65,582",52.5
202203,"5,152","2,986",72.5,"18,780","11,409",64.6,"14,600","8,507",71.6,"8,141","6,299",29.2,"6,571","6,439",2.1,"4,491","2,716",65.4,"39,033","36,248",7.7,"96,768","74,604",29.7
202204,"6,146","2,012",205.5,"21,685","7,711",181.2,"23,247","8,142",185.5,"14,267","6,309",126.1,"13,910","7,624",82.5,"11,713","3,664",219.7,"36,951","34,650",6.6,"127,919","70,112",82.4
202205,"11,141","4,310",158.5,"36,314","8,916",307.3,"33,762","8,268",308.3,"21,170","6,517",224.8,"18,669","7,142",161.4,"13,301","3,571",272.5,"41,565","35,739",16.3,"175,922","74,463",136.3
202206,"27,896","5,836",378.0,"48,038","9,414",410.3,"43,374","9,186",372.2,"31,659","7,254",336.4,"23,163","6,680",246.8,"12,131","2,906",317.4,"41,452","35,753",15.9,"227,713","77,029",195.6
전체,"1,016,758","2,546,264",-60.1,"2,866,619","6,785,547",-57.8,"2,455,017","5,834,856",-57.9,"1,657,782","4,103,006",-59.6,"1,394,196","3,426,930",-59.3,"1,022,904","2,591,342",-60.5,"1,498,492","2,026,788",-26.1,"11,911,768","27,314,733",-56.4
