기준년월,지자체,티맵카테고리중분류명,검색건수,전년동기검색건수,구성비,전년대비검색증감률
201908,강원도,기타관광,129518,100558,3.2,28.8
201908,충청북도,전체,971428,651812,100.0,49.0
201908,충청북도,자연관광,96170,75586,9.9,27.2
201908,충청북도,역사관광,31310,19157,3.2,63.4
201908,충청북도,체험관광,10743,7911,1.1,35.8
201908,충청북도,문화관광,105830,87778,10.9,20.6
201908,충청북도,레저스포츠,123798,73932,12.7,67.4
201908,충청북도,쇼핑,51341,34373,5.3,49.4
201908,충청북도,음식,315865,194455,32.5,62.4
201908,충청북도,숙박,158689,112067,16.3,41.6
201908,충청북도,기타관광,77682,46553,8.0,66.9
201908,충청남도,전체,1695591,1071443,100.0,58.3
201908,충청남도,자연관광,334480,223664,19.7,49.5
201908,충청남도,역사관광,94201,57419,5.6,64.1
201908,충청남도,체험관광,44829,37592,2.6,19.3
201908,충청남도,문화관광,197637,130757,11.7,51.1
201908,충청남도,레저스포츠,78592,51806,4.6,51.7
201908,충청남도,쇼핑,79684,49926,4.7,59.6
201908,충청남도,음식,544828,328119,32.1,66.0
201908,충청남도,숙박,262662,166235,15.5,58.0
201908,충청남도,기타관광,58678,25925,3.5,126.3
201908,전라북도,전체,1022173,683026,100.0,49.7
201908,전라북도,자연관광,125559,93156,12.3,34.8
201908,전라북도,역사관광,77682,48900,7.6,58.9
201908,전라북도,체험관광,8782,6555,0.9,34.0
201908,전라북도,문화관광,121457,80177,11.9,51.5
201908,전라북도,레저스포츠,38014,24250,3.7,56.8
201908,전라북도,쇼핑,41604,28514,4.1,45.9
201908,전라북도,음식,384515,250052,37.6,53.8
201908,전라북도,숙박,163802,110549,16.0,48.2
201908,전라북도,기타관광,60758,40873,5.9,48.7
201908,전라남도,전체,1470371,966845,100.0,52.1
201908,전라남도,자연관광,205202,144100,14.0,42.4
201908,전라남도,역사관광,74813,50155,5.1,49.2
201908,전라남도,체험관광,13281,8769,0.9,51.5
201908,전라남도,문화관광,193826,138004,13.2,40.4
201908,전라남도,레저스포츠,64374,35063,4.4,83.6
201908,전라남도,쇼핑,55846,37220,3.8,50.0
201908,전라남도,음식,443275,282186,30.1,57.1
201908,전라남도,숙박,259205,158214,17.6,63.8
201908,전라남도,기타관광,160549,113134,10.9,41.9
201908,경상북도,전체,1739829,1161392,100.0,49.8
201908,경상북도,자연관광,247106,180206,14.2,37.1
201908,경상북도,역사관광,181243,121748,10.4,48.9
201908,경상북도,체험관광,21590,15907,1.2,35.7
201908,경상북도,문화관광,235896,164235,13.6,43.6
201908,경상북도,레저스포츠,80479,54750,4.6,47.0
201908,경상북도,쇼핑,76564,49434,4.4,54.9
201908,경상북도,음식,514709,326592,29.6,57.6
201908,경상북도,숙박,303898,202483,17.5,50.1
201908,경상북도,기타관광,78344,46037,4.5,70.2
201908,경상남도,전체,1785712,1203305,100.0,48.4
201908,경상남도,자연관광,193179,140167,10.8,37.8
201908,경상남도,역사관광,104743,68709,5.9,52.4
201908,경상남도,체험관광,17651,13213,1.0,33.6
201908,경상남도,문화관광,243000,175260,13.6,38.7
201908,경상남도,레저스포츠,88700,64886,5.0,36.7
201908,경상남도,쇼핑,132917,92005,7.4,44.5
201908,경상남도,음식,584789,353238,32.7,65.6
201908,경상남도,숙박,285540,191002,16.0,49.5
201908,경상남도,기타관광,135193,104825,7.6,29.0
201908,제주특별자치도,전체,1613696,1199583,100.0,34.5
201908,제주특별자치도,자연관광,265310,212593,16.4,24.8
201908,제주특별자치도,역사관광,9296,7057,0.6,31.7
201908,제주특별자치도,체험관광,5538,3850,0.3,43.8
201908,제주특별자치도,문화관광,168810,132830,10.5,27.1
201908,제주특별자치도,레저스포츠,60148,44403,3.7,35.5
201908,제주특별자치도,쇼핑,87348,63513,5.4,37.5
201908,제주특별자치도,음식,536813,382636,33.3,40.3
201908,제주특별자치도,숙박,319427,230196,19.8,38.8
201908,제주특별자치도,기타관광,161006,122505,10.0,31.4
201909,서울특별시,전체,3933911,3106010,100.0,26.7
201909,서울특별시,자연관광,27936,29331,0.7,-4.8
201909,서울특별시,역사관광,112372,93153,2.9,20.6
201909,서울특별시,체험관광,2630,2094,0.1,25.6
201909,서울특별시,문화관광,844319,751629,21.5,12.3
201909,서울특별시,레저스포츠,36114,26789,0.9,34.8
201909,서울특별시,쇼핑,684031,539502,17.4,26.8
201909,서울특별시,음식,1486376,1106485,37.8,34.3
201909,서울특별시,숙박,600137,446531,15.3,34.4
201909,서울특별시,기타관광,139996,110496,3.6,26.7
201909,부산광역시,전체,1188984,941652,100.0,26.3
201909,부산광역시,자연관광,104286,91380,8.8,14.1
201909,부산광역시,역사관광,41863,39581,3.5,5.8
201909,부산광역시,체험관광,8311,6266,0.7,32.6
201909,부산광역시,문화관광,153821,145494,12.9,5.7
201909,부산광역시,레저스포츠,31025,23929,2.6,29.7
201909,부산광역시,쇼핑,175992,132424,14.8,32.9
201909,부산광역시,음식,444660,319714,37.4,39.1
201909,부산광역시,숙박,138381,102969,11.6,34.4
201909,부산광역시,기타관광,90645,79895,7.6,13.5
201909,대구광역시,전체,597853,447432,100.0,33.6
201909,대구광역시,자연관광,16571,17472,2.8,-5.2
201909,대구광역시,역사관광,11233,9316,1.9,20.6
201909,대구광역시,체험관광,3293,3019,0.6,9.1
201909,대구광역시,문화관광,111308,100363,18.6,10.9
201909,대구광역시,레저스포츠,8665,6711,1.4,29.1
201909,대구광역시,쇼핑,84754,67383,14.2,25.8
201909,대구광역시,음식,291106,189490,48.7,53.6
201909,대구광역시,숙박,52477,35466,8.8,48.0
201909,대구광역시,기타관광,18446,18212,3.1,1.3
201909,인천광역시,전체,1868087,1461089,100.0,27.9
201909,인천광역시,자연관광,207521,186399,11.1,11.3
201909,인천광역시,역사관광,33375,31603,1.8,5.6
201909,인천광역시,체험관광,9117,7499,0.5,21.6
201909,인천광역시,문화관광,203462,186180,10.9,9.3
201909,인천광역시,레저스포츠,87766,76603,4.7,14.6
201909,인천광역시,쇼핑,261874,211951,14.0,23.6
201909,인천광역시,음식,527496,378011,28.2,39.5
201909,인천광역시,숙박,158329,136155,8.5,16.3
201909,인천광역시,기타관광,379147,246688,20.3,53.7
201909,광주광역시,전체,336649,251196,100.0,34.0
201909,광주광역시,자연관광,2948,2429,0.9,21.4
201909,광주광역시,역사관광,3810,3469,1.1,9.8
201909,광주광역시,체험관광,21,3,0.0,600.0
201909,광주광역시,문화관광,56409,52445,16.8,7.6
201909,광주광역시,레저스포츠,5301,4079,1.6,30.0
201909,광주광역시,쇼핑,39929,33781,11.9,18.2
201909,광주광역시,음식,190109,127022,56.5,49.7
201909,광주광역시,숙박,28238,19103,8.4,47.8
201909,광주광역시,기타관광,9884,8865,2.9,11.5
201909,대전광역시,전체,407511,311174,100.0,31.0
201909,대전광역시,자연관광,13005,14642,3.2,-11.2
201909,대전광역시,역사관광,3290,2160,0.8,52.3
201909,대전광역시,체험관광,185,116,0.0,59.5
201909,대전광역시,문화관광,73126,66684,17.9,9.7
201909,대전광역시,레저스포츠,7927,5679,1.9,39.6
201909,대전광역시,쇼핑,40998,30907,10.1,32.6
201909,대전광역시,음식,222058,155487,54.5,42.8
201909,대전광역시,숙박,43418,33044,10.7,31.4
201909,대전광역시,기타관광,3504,2455,0.9,42.7
201909,울산광역시,전체,271620,194590,100.0,39.6
201909,울산광역시,자연관광,24966,20019,9.2,24.7
201909,울산광역시,역사관광,9320,7546,3.4,23.5
201909,울산광역시,체험관광,1104,957,0.4,15.4
201909,울산광역시,문화관광,42409,36606,15.6,15.9
201909,울산광역시,레저스포츠,7997,6263,2.9,27.7
201909,울산광역시,쇼핑,20372,15035,7.5,35.5
201909,울산광역시,음식,126408,79350,46.5,59.3
201909,울산광역시,숙박,23179,14654,8.5,58.2
201909,울산광역시,기타관광,15865,14160,5.8,12.0
201909,세종특별자치시,전체,134399,102742,100.0,30.8
201909,세종특별자치시,자연관광,3755,3796,2.8,-1.1
201909,세종특별자치시,역사관광,1875,2273,1.4,-17.5
201909,세종특별자치시,체험관광,87,558,0.1,-84.4
201909,세종특별자치시,문화관광,24489,26055,18.2,-6.0
201909,세종특별자치시,레저스포츠,6013,4384,4.5,37.2
201909,세종특별자치시,쇼핑,8911,4942,6.6,80.3
201909,세종특별자치시,음식,84148,56583,62.6,48.7
201909,세종특별자치시,숙박,4815,3845,3.6,25.2
201909,세종특별자치시,기타관광,306,306,0.2,0.0
201909,경기도,전체,7113498,5618232,100.0,26.6
201909,경기도,자연관광,267860,279600,3.8,-4.2
201909,경기도,역사관광,183584,170660,2.6,7.6
201909,경기도,체험관광,59819,61385,0.8,-2.6
201909,경기도,문화관광,1026037,909672,14.4,12.8
201909,경기도,레저스포츠,749084,662776,10.5,13.0
201909,경기도,쇼핑,1250745,921862,17.6,35.7
201909,경기도,음식,2991221,2097568,42.0,42.6
201909,경기도,숙박,451268,357623,6.3,26.2
201909,경기도,기타관광,133880,157086,1.9,-14.8
201909,강원도,전체,1751221,1603382,100.0,9.2
201909,강원도,자연관광,252118,266959,14.4,-5.6
201909,강원도,역사관광,65526,67030,3.7,-2.2
201909,강원도,체험관광,11936,13623,0.7,-12.4
201909,강원도,문화관광,206539,201821,11.8,2.3
201909,강원도,레저스포츠,156108,145027,8.9,7.6
201909,강원도,쇼핑,96947,64823,5.5,49.6
201909,강원도,음식,509466,435537,29.1,17.0
201909,강원도,숙박,385207,339328,22.0,13.5
201909,강원도,기타관광,67374,69234,3.8,-2.7
201909,충청북도,전체,676078,533326,100.0,26.8
201909,충청북도,자연관광,39693,41576,5.9,-4.5
201909,충청북도,역사관광,25876,24230,3.8,6.8
201909,충청북도,체험관광,6953,6411,1.0,8.5
201909,충청북도,문화관광,78608,68823,11.6,14.2
201909,충청북도,레저스포츠,110093,89833,16.3,22.6
201909,충청북도,쇼핑,45885,35084,6.8,30.8
201909,충청북도,음식,238145,160194,35.2,48.7
201909,충청북도,숙박,79361,65536,11.7,21.1
201909,충청북도,기타관광,51464,41639,7.6,23.6
201909,충청남도,전체,1193546,1030174,100.0,15.9
201909,충청남도,자연관광,213418,227207,17.9,-6.1
201909,충청남도,역사관광,76324,72412,6.4,5.4
201909,충청남도,체험관광,22688,24688,1.9,-8.1
201909,충청남도,문화관광,155105,143196,13.0,8.3
201909,충청남도,레저스포츠,68396,64288,5.7,6.4
201909,충청남도,쇼핑,78542,69745,6.6,12.6
201909,충청남도,음식,394509,275721,33.1,43.1
201909,충청남도,숙박,143321,120791,12.0,18.7
201909,충청남도,기타관광,41243,32126,3.5,28.4
201909,전라북도,전체,650433,573816,100.0,13.4
201909,전라북도,자연관광,64131,69203,9.9,-7.3
201909,전라북도,역사관광,57505,58965,8.8,-2.5
201909,전라북도,체험관광,5820,7727,0.9,-24.7
201909,전라북도,문화관광,88696,84272,13.6,5.2
201909,전라북도,레저스포츠,27710,23279,4.3,19.0
201909,전라북도,쇼핑,36758,31104,5.7,18.2
201909,전라북도,음식,263153,201975,40.5,30.3
201909,전라북도,숙박,67937,58548,10.4,16.0
201909,전라북도,기타관광,38723,38743,6.0,-0.1
201909,전라남도,전체,816544,690884,100.0,18.2
201909,전라남도,자연관광,93590,91789,11.5,2.0
201909,전라남도,역사관광,54673,54964,6.7,-0.5
201909,전라남도,체험관광,5436,5150,0.7,5.6
201909,전라남도,문화관광,107738,96265,13.2,11.9
201909,전라남도,레저스포츠,44427,35400,5.4,25.5
201909,전라남도,쇼핑,42649,35974,5.2,18.6
201909,전라남도,음식,246230,191255,30.2,28.7
201909,전라남도,숙박,108500,79772,13.3,36.0
201909,전라남도,기타관광,113301,100315,13.9,12.9
201909,경상북도,전체,996302,856448,100.0,16.3
201909,경상북도,자연관광,100830,95727,10.1,5.3
201909,경상북도,역사관광,132863,133884,13.3,-0.8
201909,경상북도,체험관광,16729,14135,1.7,18.4
201909,경상북도,문화관광,122706,117981,12.3,4.0
201909,경상북도,레저스포츠,64323,55752,6.5,15.4
201909,경상북도,쇼핑,56735,47856,5.7,18.6
201909,경상북도,음식,325818,242522,32.7,34.3
201909,경상북도,숙박,132437,112346,13.3,17.9
201909,경상북도,기타관광,43861,36245,4.4,21.0
201909,경상남도,전체,1043148,840417,100.0,24.1
201909,경상남도,자연관광,68226,66711,6.5,2.3
201909,경상남도,역사관광,68331,59468,6.6,14.9
201909,경상남도,체험관광,9889,9292,0.9,6.4
201909,경상남도,문화관광,157573,136709,15.1,15.3
201909,경상남도,레저스포츠,67552,61118,6.5,10.5
201909,경상남도,쇼핑,108944,90566,10.4,20.3
201909,경상남도,음식,379556,254846,36.4,48.9
201909,경상남도,숙박,116438,98570,11.2,18.1
201909,경상남도,기타관광,66639,63137,6.4,5.5
201909,제주특별자치도,전체,1050170,888547,100.0,18.2
201909,제주특별자치도,자연관광,153589,145153,14.6,5.8
201909,제주특별자치도,역사관광,7770,7243,0.7,7.3
201909,제주특별자치도,체험관광,4651,3434,0.4,35.4
201909,제주특별자치도,문화관광,113468,100218,10.8,13.2
201909,제주특별자치도,레저스포츠,39598,36611,3.8,8.2
201909,제주특별자치도,쇼핑,64359,53304,6.1,20.7
201909,제주특별자치도,음식,355698,285880,33.9,24.4
201909,제주특별자치도,숙박,197047,155669,18.8,26.6
201909,제주특별자치도,기타관광,113990,101035,10.9,12.8
201910,서울특별시,전체,4338790,3330520,100.0,30.3
201910,서울특별시,자연관광,31479,28556,0.7,10.2
201910,서울특별시,역사관광,117209,90801,2.7,29.1
201910,서울특별시,체험관광,2876,2232,0.1,28.9
201910,서울특별시,문화관광,1018810,817804,23.5,24.6
201910,서울특별시,레저스포츠,43978,29094,1.0,51.2
201910,서울특별시,쇼핑,689458,565645,15.9,21.9
201910,서울특별시,음식,1583662,1166457,36.5,35.8
201910,서울특별시,숙박,687513,512216,15.8,34.2
201910,서울특별시,기타관광,163805,117715,3.8,39.2
201910,부산광역시,전체,1384136,977089,100.0,41.7
201910,부산광역시,자연관광,112708,90695,8.1,24.3
201910,부산광역시,역사관광,46795,39121,3.4,19.6
201910,부산광역시,체험관광,8534,6431,0.6,32.7
201910,부산광역시,문화관광,217522,166621,15.7,30.5
201910,부산광역시,레저스포츠,41495,28310,3.0,46.6
201910,부산광역시,쇼핑,191417,130050,13.8,47.2
201910,부산광역시,음식,480237,308693,34.7,55.6
201910,부산광역시,숙박,174920,117164,12.6,49.3
201910,부산광역시,기타관광,110508,90004,8.0,22.8
201910,대구광역시,전체,676847,454513,100.0,48.9
201910,대구광역시,자연관광,20940,18219,3.1,14.9
201910,대구광역시,역사관광,14228,11450,2.1,24.3
201910,대구광역시,체험관광,3725,2866,0.6,30.0
201910,대구광역시,문화관광,139538,99307,20.6,40.5
201910,대구광역시,레저스포츠,10707,7283,1.6,47.0
201910,대구광역시,쇼핑,87069,66267,12.9,31.4
201910,대구광역시,음식,311969,189321,46.1,64.8
201910,대구광역시,숙박,65477,41835,9.7,56.5
201910,대구광역시,기타관광,23194,17965,3.4,29.1
201910,인천광역시,전체,2084896,1478758,100.0,41.0
201910,인천광역시,자연관광,212719,157708,10.2,34.9
201910,인천광역시,역사관광,39516,34861,1.9,13.4
201910,인천광역시,체험관광,9698,7045,0.5,37.7
201910,인천광역시,문화관광,267211,217256,12.8,23.0
201910,인천광역시,레저스포츠,112810,85564,5.4,31.8
201910,인천광역시,쇼핑,273924,212099,13.1,29.1
201910,인천광역시,음식,584384,379569,28.0,54.0
201910,인천광역시,숙박,185228,136841,8.9,35.4
201910,인천광역시,기타관광,399406,247815,19.2,61.2
201910,광주광역시,전체,384878,260890,100.0,47.5
201910,광주광역시,자연관광,3204,2468,0.8,29.8
201910,광주광역시,역사관광,4734,3872,1.2,22.3
201910,광주광역시,체험관광,28,9,0.0,211.1
201910,광주광역시,문화관광,75746,57166,19.7,32.5
201910,광주광역시,레저스포츠,6741,4301,1.8,56.7
201910,광주광역시,쇼핑,41944,32548,10.9,28.9
201910,광주광역시,음식,205299,128293,53.3,60.0
201910,광주광역시,숙박,35164,22495,9.1,56.3
201910,광주광역시,기타관광,12018,9738,3.1,23.4
201910,대전광역시,전체,488371,338130,100.0,44.4
201910,대전광역시,자연관광,18943,17043,3.9,11.1
201910,대전광역시,역사관광,3427,2201,0.7,55.7
201910,대전광역시,체험관광,236,216,0.0,9.3
201910,대전광역시,문화관광,100262,78189,20.5,28.2
201910,대전광역시,레저스포츠,10879,7023,2.2,54.9
201910,대전광역시,쇼핑,40346,30515,8.3,32.2
201910,대전광역시,음식,253932,161014,52.0,57.7
201910,대전광역시,숙박,55326,39251,11.3,41.0
201910,대전광역시,기타관광,5020,2678,1.0,87.5
201910,울산광역시,전체,341331,225285,100.0,51.5
201910,울산광역시,자연관광,27969,21368,8.2,30.9
201910,울산광역시,역사관광,11643,8874,3.4,31.2
201910,울산광역시,체험관광,1396,1166,0.4,19.7
201910,울산광역시,문화관광,67748,48300,19.8,40.3
201910,울산광역시,레저스포츠,10836,8593,3.2,26.1
201910,울산광역시,쇼핑,22171,14890,6.5,48.9
201910,울산광역시,음식,149209,88579,43.7,68.4
201910,울산광역시,숙박,30246,17909,8.9,68.9
201910,울산광역시,기타관광,20113,15606,5.9,28.9
201910,세종특별자치시,전체,168248,113695,100.0,48.0
201910,세종특별자치시,자연관광,4951,3873,2.9,27.8
201910,세종특별자치시,역사관광,4558,4095,2.7,11.3
201910,세종특별자치시,체험관광,189,470,0.1,-59.8
201910,세종특별자치시,문화관광,40357,28573,24.0,41.2
201910,세종특별자치시,레저스포츠,8753,4647,5.2,88.4
201910,세종특별자치시,쇼핑,9364,5252,5.6,78.3
