기준년월,광역지자체,중분류,,지출액,전년도 지출액
202001,부산광역시,총소비,0000,2.8535043E7,2.402001E7
202001,부산광역시,호텔,1001,2065083.0,2262914.0
202001,부산광역시,콘도,1002,1188.0,2035.0
202001,부산광역시,캠핑장/펜션,1003,60.0,0.0
202001,부산광역시,기타숙박,1004,909459.0,672765.0
202001,부산광역시,여행업,2001,907.0,776.0
202001,부산광역시,육상운송,3001,2816.0,2222.0
202001,부산광역시,수상운송,3002,6208.0,5060.0
202001,부산광역시,항공운송,3003,50038.0,25033.0
202001,부산광역시,렌터카,3004,27460.0,6181.0
202001,부산광역시,면세점,4001,2873902.0,2833598.0
202001,부산광역시,관광기념품,4002,340621.0,418636.0
202001,부산광역시,레저용품쇼핑,4003,231991.0,242665.0
202001,부산광역시,대형쇼핑몰,4004,8148172.0,6273326.0
202001,부산광역시,카지노,5001,1.1536673E7,9423477.0
202001,부산광역시,관광유원시설,5002,80026.0,44218.0
202001,부산광역시,골프장,5003,15949.0,16142.0
202001,부산광역시,기타레저,5005,176.0,240.0
202001,부산광역시,문화서비스,5006,3950.0,3233.0
202001,부산광역시,식음료,6001,2240365.0,1787489.0
202002,부산광역시,총소비,0000,1.7760985E7,2.1817571E7
202002,부산광역시,호텔,1001,1377912.0,2274940.0
202002,부산광역시,콘도,1002,605.0,831.0
202002,부산광역시,캠핑장/펜션,1003,210.0,40.0
202002,부산광역시,기타숙박,1004,523020.0,729394.0
202002,부산광역시,여행업,2001,3828.0,132.0
202002,부산광역시,육상운송,3001,821.0,1921.0
202002,부산광역시,수상운송,3002,4850.0,6801.0
202002,부산광역시,항공운송,3003,24165.0,31811.0
202002,부산광역시,렌터카,3004,20944.0,11376.0
202002,부산광역시,면세점,4001,1588192.0,2683773.0
202002,부산광역시,관광기념품,4002,169582.0,450082.0
202002,부산광역시,레저용품쇼핑,4003,162506.0,253800.0
202002,부산광역시,대형쇼핑몰,4004,4420927.0,6782347.0
202002,부산광역시,카지노,5001,7999300.0,6673750.0
202002,부산광역시,관광유원시설,5002,37037.0,51366.0
202002,부산광역시,골프장,5003,11815.0,8189.0
202002,부산광역시,기타레저,5005,73.0,25.0
202002,부산광역시,문화서비스,5006,2584.0,3369.0
202002,부산광역시,식음료,6001,1412614.0,1853625.0
202003,부산광역시,총소비,0000,2034720.0,2.7132071E7
202003,부산광역시,호텔,1001,215007.0,2886608.0
202003,부산광역시,콘도,1002,542.0,1659.0
202003,부산광역시,캠핑장/펜션,1003,0.0,0.0
202003,부산광역시,기타숙박,1004,94260.0,1037313.0
202003,부산광역시,여행업,2001,0.0,7945.0
202003,부산광역시,육상운송,3001,0.0,5402.0
202003,부산광역시,수상운송,3002,200.0,8914.0
202003,부산광역시,항공운송,3003,3129.0,31652.0
202003,부산광역시,렌터카,3004,1612.0,10838.0
202003,부산광역시,면세점,4001,99108.0,3379973.0
202003,부산광역시,관광기념품,4002,760.0,663307.0
202003,부산광역시,레저용품쇼핑,4003,18894.0,291302.0
202003,부산광역시,대형쇼핑몰,4004,1052667.0,7976175.0
202003,부산광역시,카지노,5001,224810.0,8421911.0
202003,부산광역시,관광유원시설,5002,1179.0,58432.0
202003,부산광역시,골프장,5003,6109.0,19020.0
202003,부산광역시,기타레저,5005,0.0,35.0
202003,부산광역시,문화서비스,5006,706.0,5544.0
202003,부산광역시,식음료,6001,315738.0,2326041.0
202004,부산광역시,총소비,0000,1766738.0,3.3310363E7
202004,부산광역시,호텔,1001,209151.0,3938300.0
202004,부산광역시,콘도,1002,272.0,2240.0
202004,부산광역시,캠핑장/펜션,1003,0.0,344.0
202004,부산광역시,기타숙박,1004,35028.0,1487171.0
202004,부산광역시,여행업,2001,1310.0,2148.0
202004,부산광역시,육상운송,3001,0.0,6556.0
202004,부산광역시,수상운송,3002,0.0,8415.0
202004,부산광역시,항공운송,3003,0.0,35660.0
202004,부산광역시,렌터카,3004,1823.0,9775.0
202004,부산광역시,면세점,4001,415.0,4078815.0
202004,부산광역시,관광기념품,4002,188.0,980246.0
202004,부산광역시,레저용품쇼핑,4003,25229.0,351060.0
202004,부산광역시,대형쇼핑몰,4004,1029294.0,1.0211986E7
202004,부산광역시,카지노,5001,0.0,9052155.0
202004,부산광역시,관광유원시설,5002,1631.0,107109.0
202004,부산광역시,골프장,5003,19555.0,21847.0
202004,부산광역시,기타레저,5005,16.0,117.0
202004,부산광역시,문화서비스,5006,652.0,8229.0
202004,부산광역시,식음료,6001,442173.0,3008190.0
202005,부산광역시,총소비,0000,3147174.0,3.2614978E7
202005,부산광역시,호텔,1001,421582.0,3872896.0
202005,부산광역시,콘도,1002,516.0,3850.0
202005,부산광역시,캠핑장/펜션,1003,40.0,200.0
202005,부산광역시,기타숙박,1004,89183.0,1555079.0
202005,부산광역시,여행업,2001,450.0,7262.0
202005,부산광역시,육상운송,3001,195.0,8324.0
202005,부산광역시,수상운송,3002,22.0,11989.0
202005,부산광역시,항공운송,3003,0.0,48100.0
202005,부산광역시,렌터카,3004,1970.0,13545.0
202005,부산광역시,면세점,4001,39509.0,4173826.0
202005,부산광역시,관광기념품,4002,3915.0,842951.0
202005,부산광역시,레저용품쇼핑,4003,33159.0,305699.0
202005,부산광역시,대형쇼핑몰,4004,1667428.0,1.0197498E7
202005,부산광역시,카지노,5001,191480.0,8092396.0
202005,부산광역시,관광유원시설,5002,15077.0,126215.0
202005,부산광역시,골프장,5003,14237.0,27490.0
202005,부산광역시,기타레저,5005,116.0,92.0
202005,부산광역시,문화서비스,5006,780.0,6746.0
202005,부산광역시,식음료,6001,667518.0,3320822.0
202006,부산광역시,총소비,0000,3721210.0,3.1681754E7
202006,부산광역시,호텔,1001,504622.0,3163886.0
202006,부산광역시,콘도,1002,1864.0,1574.0
202006,부산광역시,캠핑장/펜션,1003,50.0,290.0
202006,부산광역시,기타숙박,1004,195466.0,1407521.0
202006,부산광역시,여행업,2001,0.0,187.0
202006,부산광역시,육상운송,3001,85.0,5696.0
202006,부산광역시,수상운송,3002,55.0,10387.0
202006,부산광역시,항공운송,3003,64.0,47173.0
202006,부산광역시,렌터카,3004,2986.0,20247.0
202006,부산광역시,면세점,4001,20097.0,3884671.0
202006,부산광역시,관광기념품,4002,1966.0,701795.0
202006,부산광역시,레저용품쇼핑,4003,58058.0,306112.0
202006,부산광역시,대형쇼핑몰,4004,1665847.0,1.0392315E7
202006,부산광역시,카지노,5001,551400.0,8567259.0
202006,부산광역시,관광유원시설,5002,17999.0,122561.0
202006,부산광역시,골프장,5003,14271.0,19994.0
202006,부산광역시,기타레저,5005,128.0,188.0
202006,부산광역시,문화서비스,5006,1700.0,8223.0
202006,부산광역시,식음료,6001,684552.0,3021675.0
202007,부산광역시,총소비,0000,4300899.0,3.0486945E7
202007,부산광역시,호텔,1001,575043.0,3494741.0
202007,부산광역시,콘도,1002,3935.0,2891.0
202007,부산광역시,캠핑장/펜션,1003,24.0,60.0
202007,부산광역시,기타숙박,1004,513753.0,1660552.0
202007,부산광역시,여행업,2001,4108.0,11060.0
202007,부산광역시,육상운송,3001,508.0,5000.0
202007,부산광역시,수상운송,3002,384.0,10110.0
202007,부산광역시,항공운송,3003,257.0,49669.0
202007,부산광역시,렌터카,3004,5995.0,22840.0
202007,부산광역시,면세점,4001,35301.0,3201096.0
202007,부산광역시,관광기념품,4002,4063.0,469713.0
202007,부산광역시,레저용품쇼핑,4003,40257.0,263134.0
202007,부산광역시,대형쇼핑몰,4004,2006223.0,8806276.0
202007,부산광역시,카지노,5001,26600.0,9115355.0
202007,부산광역시,관광유원시설,5002,48139.0,163711.0
202007,부산광역시,골프장,5003,17050.0,27572.0
202007,부산광역시,기타레저,5005,0.0,392.0
202007,부산광역시,문화서비스,5006,1205.0,10150.0
202007,부산광역시,식음료,6001,1018054.0,3172622.0
202008,부산광역시,총소비,0000,3499600.0,3.1834444E7
202008,부산광역시,호텔,1001,431059.0,3526017.0
202008,부산광역시,콘도,1002,1965.0,4620.0
202008,부산광역시,캠핑장/펜션,1003,0.0,0.0
202008,부산광역시,기타숙박,1004,345073.0,1893733.0
202008,부산광역시,여행업,2001,2420.0,120.0
202008,부산광역시,육상운송,3001,200.0,5703.0
202008,부산광역시,수상운송,3002,22.0,14324.0
202008,부산광역시,항공운송,3003,150.0,39422.0
202008,부산광역시,렌터카,3004,5149.0,18952.0
202008,부산광역시,면세점,4001,50399.0,3659066.0
202008,부산광역시,관광기념품,4002,1953.0,451774.0
202008,부산광역시,레저용품쇼핑,4003,44812.0,254265.0
202008,부산광역시,대형쇼핑몰,4004,1846886.0,9471808.0
202008,부산광역시,카지노,5001,39950.0,9112594.0
202008,부산광역시,관광유원시설,5002,13284.0,167933.0
202008,부산광역시,골프장,5003,10689.0,12875.0
202008,부산광역시,기타레저,5005,56.0,467.0
202008,부산광역시,문화서비스,5006,1506.0,5942.0
202008,부산광역시,식음료,6001,704027.0,3194827.0
202009,부산광역시,총소비,0000,3210611.0,2.8254193E7
202009,부산광역시,호텔,1001,393142.0,3148664.0
202009,부산광역시,콘도,1002,340.0,3308.0
202009,부산광역시,캠핑장/펜션,1003,0.0,793.0
202009,부산광역시,기타숙박,1004,365364.0,1481008.0
202009,부산광역시,여행업,2001,0.0,8569.0
202009,부산광역시,육상운송,3001,0.0,12604.0
202009,부산광역시,수상운송,3002,119.0,12858.0
202009,부산광역시,항공운송,3003,242.0,37834.0
202009,부산광역시,렌터카,3004,8091.0,19739.0
202009,부산광역시,면세점,4001,24010.0,3382080.0
202009,부산광역시,관광기념품,4002,3441.0,582138.0
202009,부산광역시,레저용품쇼핑,4003,29126.0,257669.0
202009,부산광역시,대형쇼핑몰,4004,1774435.0,8596501.0
202009,부산광역시,카지노,5001,15800.0,7796569.0
202009,부산광역시,관광유원시설,5002,6222.0,103094.0
202009,부산광역시,골프장,5003,17731.0,14908.0
202009,부산광역시,기타레저,5005,0.0,178.0
202009,부산광역시,문화서비스,5006,1018.0,5094.0
202009,부산광역시,식음료,6001,571532.0,2790584.0
202010,부산광역시,총소비,0000,4025880.0,3.3610281E7
202010,부산광역시,호텔,1001,501604.0,4632034.0
202010,부산광역시,콘도,1002,312.0,10120.0
202010,부산광역시,캠핑장/펜션,1003,11.0,769.0
202010,부산광역시,기타숙박,1004,285283.0,2051518.0
202010,부산광역시,여행업,2001,0.0,9758.0
202010,부산광역시,육상운송,3001,225.0,8266.0
202010,부산광역시,수상운송,3002,44.0,12422.0
202010,부산광역시,항공운송,3003,547.0,43727.0
202010,부산광역시,렌터카,3004,4803.0,17585.0
202010,부산광역시,면세점,4001,12309.0,4230730.0
202010,부산광역시,관광기념품,4002,3296.0,592273.0
