대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,3.6641178E7,46.2,539434.0,1.5
쇼핑업,대형쇼핑몰,3.6641178E7,46.2,3.0512073E7,83.3
쇼핑업,레저용품쇼핑,3.6641178E7,46.2,744717.0,2.0
쇼핑업,면세점,3.6641178E7,46.2,4844953.0,13.2
숙박업,기타숙박,1.1253948E7,14.2,3757165.0,33.4
숙박업,캠핑장/펜션,1.1253948E7,14.2,394.0,0.0
숙박업,콘도,1.1253948E7,14.2,12173.0,0.1
숙박업,호텔,1.1253948E7,14.2,7484216.0,66.5
식음료업,식음료,1.0013671E7,12.6,1.0013671E7,100.0
여가서비스업,골프장,2.1122536E7,26.7,202630.0,1.0
여가서비스업,관광유원시설,2.1122536E7,26.7,261846.0,1.2
여가서비스업,기타레저,2.1122536E7,26.7,841.0,0.0
여가서비스업,문화서비스,2.1122536E7,26.7,17906.0,0.1
여가서비스업,카지노,2.1122536E7,26.7,2.0639313E7,97.7
여행업,여행업,13078.0,0.0,13078.0,100.0
운송업,렌터카,189362.0,0.2,92427.0,48.8
운송업,수상운송,189362.0,0.2,12014.0,6.3
운송업,육상운송,189362.0,0.2,5267.0,2.8
운송업,항공운송,189362.0,0.2,79653.0,42.1
