대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,2.702025E7,51.3,111263.0,0.4
쇼핑업,대형쇼핑몰,2.702025E7,51.3,2.6078336E7,96.5
쇼핑업,레저용품쇼핑,2.702025E7,51.3,423118.0,1.6
쇼핑업,면세점,2.702025E7,51.3,407532.0,1.5
숙박업,기타숙박,1.3401383E7,25.4,4190237.0,31.3
숙박업,캠핑장/펜션,1.3401383E7,25.4,487.0,0.0
숙박업,콘도,1.3401383E7,25.4,1847.0,0.0
숙박업,호텔,1.3401383E7,25.4,9208812.0,68.7
식음료업,식음료,1.0119851E7,19.2,1.0119851E7,100.0
여가서비스업,골프장,2021325.0,3.8,170823.0,8.5
여가서비스업,관광유원시설,2021325.0,3.8,511374.0,25.3
여가서비스업,기타레저,2021325.0,3.8,389.0,0.0
여가서비스업,문화서비스,2021325.0,3.8,43932.0,2.2
여가서비스업,카지노,2021325.0,3.8,1294807.0,64.1
여행업,여행업,13717.0,0.0,13717.0,100.0
운송업,렌터카,106654.0,0.2,72272.0,67.8
운송업,수상운송,106654.0,0.2,3193.0,3.0
운송업,육상운송,106654.0,0.2,11083.0,10.4
운송업,항공운송,106654.0,0.2,20106.0,18.9
