대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,1.63717556E8,45.6,7356660.0,4.5
쇼핑업,대형쇼핑몰,1.63717556E8,45.6,1.10635668E8,67.6
쇼핑업,레저용품쇼핑,1.63717556E8,45.6,3348141.0,2.0
쇼핑업,면세점,1.63717556E8,45.6,4.2377087E7,25.9
숙박업,기타숙박,5.7181795E7,15.9,1.6911186E7,29.6
숙박업,캠핑장/펜션,5.7181795E7,15.9,2853.0,0.0
숙박업,콘도,5.7181795E7,15.9,37262.0,0.1
숙박업,호텔,5.7181795E7,15.9,4.0230495E7,70.4
식음료업,식음료,3.4609295E7,9.6,3.4609295E7,100.0
여가서비스업,골프장,1.02286605E8,28.5,227735.0,0.2
여가서비스업,관광유원시설,1.02286605E8,28.5,1279916.0,1.3
여가서비스업,기타레저,1.02286605E8,28.5,3378.0,0.0
여가서비스업,문화서비스,1.02286605E8,28.5,78164.0,0.1
여가서비스업,카지노,1.02286605E8,28.5,1.00697411E8,98.4
여행업,여행업,52334.0,0.0,52334.0,100.0
운송업,렌터카,856032.0,0.2,199743.0,23.3
운송업,수상운송,856032.0,0.2,120825.0,14.1
운송업,육상운송,856032.0,0.2,77920.0,9.1
운송업,항공운송,856032.0,0.2,457544.0,53.4
