기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율,연도
강서구,1.34E+07,3.7,2019
금정구,2039411,0.6,2019
기장군,2.06E+07,5.7,2019
남구,1935627,0.5,2019
동구,4799583,1.3,2019
동래구,4316157,1.2,2019
부산진구,1.50E+08,41.9,2019
북구,408543,0.1,2019
사상구,1.33E+07,3.7,2019
사하구,1171206,0.3,2019
서구,1695260,0.5,2019
수영구,2983317,0.8,2019
연제구,811751,0.2,2019
영도구,1399556,0.4,2019
중구,4.26E+07,11.9,2019
해운대구,9.68E+07,27,2019
