기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율,연도
강서구,867726,1.6,2022
금정구,917707,1.7,2022
기장군,5063594,9.6,2022
남구,760311,1.4,2022
동구,1071361,2,2022
동래구,591711,1.1,2022
부산진구,9970476,18.9,2022
북구,194926,0.4,2022
사상구,7302511,13.9,2022
사하구,277893,0.5,2022
서구,939995,1.8,2022
수영구,1608414,3.1,2022
연제구,364542,0.7,2022
영도구,170559,0.3,2022
중구,3169403,6,2022
해운대구,1.94E+07,36.8,2022
