기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율,연도
강서구,1666094,2.1,2020
금정구,996129,1.3,2020
기장군,5851881,7.4,2020
남구,772732,1,2020
동구,1297859,1.6,2020
동래구,1038043,1.3,2020
부산진구,3.12E+07,39.3,2020
북구,223741,0.3,2020
사상구,6379607,8.1,2020
사하구,358385,0.5,2020
서구,533556,0.7,2020
수영구,1158168,1.5,2020
연제구,347114,0.4,2020
영도구,252216,0.3,2020
중구,6596596,8.3,2020
해운대구,2.06E+07,26,2020
