국가명,국가별 방문자 수,국가별 방문자 비율
호주,74276.0,1.4
캐나다,38182.0,0.7
중국,762022.0,14.4
대만,582370.0,11.0
프랑스,27664.0,0.5
독일,18012.0,0.3
홍콩,702512.0,13.3
인도,30204.0,0.6
인도네시아,137697.0,2.6
일본,823694.0,15.6
카자흐스탄,25464.0,0.5
말레이시아,128860.0,2.4
몽골,735.0,0.0
필리핀,159966.0,3.0
러시아,210962.0,4.0
싱가포르,71551.0,1.4
베트남,94546.0,1.8
태국,494319.0,9.4
터키,13049.0,0.2
영국,38197.0,0.7
미국,193238.0,3.7
기타,656892.0,12.4
