국가명,국가별 방문자 수,국가별 방문자 비율
호주,6485.0,1.0
캐나다,9720.0,1.5
중국,67095.0,10.4
대만,2558.0,0.4
프랑스,9060.0,1.4
독일,7862.0,1.2
홍콩,13823.0,2.1
인도,2055.0,0.3
인도네시아,17678.0,2.7
일본,32244.0,5.0
카자흐스탄,577.0,0.1
말레이시아,3511.0,0.5
몽골,129.0,0.0
필리핀,21974.0,3.4
러시아,32753.0,5.1
싱가포르,7826.0,1.2
베트남,11032.0,1.7
태국,49929.0,7.7
터키,2003.0,0.3
영국,12705.0,2.0
미국,129411.0,20.0
기타,206501.0,31.9
