국가명,국가별 방문자 수,국가별 방문자 비율
호주,3219.0,0.4
캐나다,9347.0,1.3
중국,102492.0,14.0
대만,5196.0,0.7
프랑스,4935.0,0.7
독일,9498.0,1.3
홍콩,19685.0,2.7
인도,2049.0,0.3
인도네시아,15123.0,2.1
일본,30238.0,4.1
카자흐스탄,593.0,0.1
말레이시아,3048.0,0.4
몽골,26.0,0.0
필리핀,23970.0,3.3
러시아,42579.0,5.8
싱가포르,2828.0,0.4
베트남,7172.0,1.0
태국,72302.0,9.9
터키,1293.0,0.2
영국,14957.0,2.0
미국,195283.0,26.6
기타,167271.0,22.8
