기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율,연도
강서구,107386,11.6,2020
금정구,25838,2.8,2020
기장군,58208,6.3,2020
남구,108114,11.7,2020
동구,50585,5.5,2020
동래구,11646,1.3,2020
부산진구,72202,7.8,2020
북구,7746,0.8,2020
사상구,17829,1.9,2020
사하구,62261,6.7,2020
서구,83108,9,2020
수영구,33928,3.7,2020
연제구,12328,1.3,2020
영도구,88866,9.6,2020
중구,82023,8.9,2020
해운대구,100565,10.9,2020
