기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율,연도
강서구,1126185,12.3,2019
금정구,179364,2,2019
기장군,434121,4.7,2019
남구,447475,4.9,2019
동구,710093,7.7,2019
동래구,102657,1.1,2019
부산진구,1181909,12.9,2019
북구,52109,0.6,2019
사상구,171697,1.9,2019
사하구,586157,6.4,2019
서구,501971,5.5,2019
수영구,231486,2.5,2019
연제구,127734,1.4,2019
영도구,610680,6.6,2019
중구,1349764,14.7,2019
해운대구,1373356,14.9,2019
