기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율,연도
강서구,245706,27.2,2021
금정구,19255,2.1,2021
기장군,65790,7.3,2021
남구,123060,13.6,2021
동구,31067,3.4,2021
동래구,11711,1.3,2021
부산진구,19957,2.2,2021
북구,6152,0.7,2021
사상구,13708,1.5,2021
사하구,57330,6.3,2021
서구,83599,9.2,2021
수영구,29131,3.2,2021
연제구,11864,1.3,2021
영도구,73605,8.1,2021
중구,40503,4.5,2021
해운대구,71409,7.9,2021
